name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Pittsburgh moms,19152888,Pittsburgh,40.48,-80.02,Parents & Family,2015-11-25 00:00:26,active,180,open,67,2017-02-21 19:30:00,1
Freelance Pgh,20459919,Pittsburgh,40.48,-80.02,Career & Business,2016-09-23 15:37:05,active,96,open,1,2016-12-08 19:00:00,7
Pittsburgh Dachshund Meetup Group,1282668,Pittsburgh,40.5,-79.98,Pets & Animals,2008-09-15 11:14:52,active,398,open,228,2017-10-15 11:00:00,1
Pittsburgh Dog Meetup Group,302192,Pittsburgh,40.5,-79.98,Pets & Animals,2006-08-10 12:42:14,active,2152,open,184,2017-09-13 19:00:00,5
Pittsburgh Personal Safety,26407300,Canonsburg,40.27,-80.15,Health & Wellbeing,2017-10-27 13:33:52,active,16,open,1,2017-11-09 20:00:00,3
"Photo and Memory Keepers - Organize, Digitize and Preserve",26125682,Canonsburg,40.27,-80.15,Hobbies & Crafts,2017-10-02 09:43:21,active,25,open,10,2018-01-16 15:00:00,1
Investor's Business Daily Pittsburgh Meetup,1679352,Canonsburg,40.27,-80.15,Career & Business,2010-07-22 12:07:04,active,128,open,79,2017-05-31 19:00:00,5
Canonsburg Coffee Meetup,24941258,Canonsburg,40.27,-80.15,Support,2017-07-11 11:56:51,active,50,open,1,2017-08-03 18:30:00,11
South Hills Young Living Essential Oils      Meetup Group,18522671,Canonsburg,40.27,-80.15,Health & Wellbeing,2015-03-27 14:43:58,active,184,open,12,2016-10-09 14:00:00,2
Pittsburgh Oncology Massage Therapists,22172185,Canonsburg,40.27,-80.15,Health & Wellbeing,2017-01-30 22:47:39,active,15,open,0,,0
Professional Women's Financial Resource Group,22164833,Canonsburg,40.27,-80.15,Career & Business,2017-01-30 12:14:01,active,44,open,0,,0
"McMurray and Cannonsburg, PA Travel Association",21512704,Canonsburg,40.27,-80.15,Outdoors & Adventure,2016-12-07 20:06:20,active,248,open,7,2017-06-30 10:00:00,1
Oneness through Awareness,2716902,Canonsburg,40.27,-80.15,Health & Wellbeing,2011-10-27 12:22:20,active,220,open,99,2017-10-04 19:00:00,2
Pittsburgh Family Yoga Meetup,26381308,Pittsburgh,40.5,-79.91,Health & Wellbeing,2017-10-25 09:25:30,active,28,open,0,,0
Pittsburgh Aromatherapy Meetup,26126118,Pittsburgh,40.5,-79.91,Health & Wellbeing,2017-10-02 10:37:21,active,23,approval,0,,0
Womyn's Space,25866513,Pittsburgh,40.5,-79.91,Socializing,2017-09-10 14:39:37,active,50,open,1,2017-10-07 17:00:00,4
Pittsburgh Silver Screen Dinner & Film Group,3849892,Pittsburgh,40.5,-79.91,Socializing,2012-05-11 23:19:27,active,302,approval,215,2017-12-15 19:00:00,2
CryptoCurrency - Digital Currency - Blockchain 101,20425678,Pittsburgh,40.5,-79.91,Tech,2016-09-14 12:50:31,active,75,open,0,,0
